entity_id,name,label,description,doc_id,chunk_id,all_labels,source
ENT_000001,10mm 厚橡胶垫,Component,安装时用于防震的橡胶垫,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_4,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000002,16 路报警显示单元,Component,16 通道报警显示硬件单元；16 路报警信号显示设备；支持 16 路报警信号显示的终端单元,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_4;机舱总线制监测报警使用说明书::chunk_5;机舱总线制监测报警使用说明书::chunk_8,,机舱总线制监测报警使用说明书.md
ENT_000003,16 路采集单元,Component,16 通道报警数据采集硬件单元,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_4,,机舱总线制监测报警使用说明书.md
ENT_000004,24 路报警显示单元,Component,24 通道报警显示硬件单元；24 路报警信号显示设备；支持 24 路报警信号显示的终端单元,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_4;机舱总线制监测报警使用说明书::chunk_5;机舱总线制监测报警使用说明书::chunk_8,,机舱总线制监测报警使用说明书.md
ENT_000005,24 路采集单元,Component,24 通道报警数据采集硬件单元,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_4,,机舱总线制监测报警使用说明书.md
ENT_000006,2A 接线端子,Component,485 通讯接口的 2A 信号引脚,柴油机智能延伸检测单元说明书,柴油机智能延伸检测单元说明书::chunk_4,,柴油机智能延伸检测单元说明书.md
ENT_000007,2B 接线端子,Component,485 通讯接口的 2B 信号引脚,柴油机智能延伸检测单元说明书,柴油机智能延伸检测单元说明书::chunk_4,,柴油机智能延伸检测单元说明书.md
ENT_000008,485 通讯接口,Component,产品系统的 RS485 通信模块接口,柴油机智能延伸检测单元说明书,柴油机智能延伸检测单元说明书::chunk_4,,柴油机智能延伸检测单元说明书.md
ENT_000009,AH/IDLE/AST 三位置气动操纵阀,Component,机旁用于产生气信号推动液压离合器控制导阀的三位置阀,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书::chunk_18,,CDQY2A-PC2-6型 船用主柴油机电气遥控系统说明书.md
ENT_000010,CEFP 型通讯电缆,Component,连接电缆使用的通讯电缆型号,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_6,,机舱总线制监测报警使用说明书.md
ENT_000011,COM1,Component,第 1 至 8 路报警输入的公共端端子,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_7,,机舱总线制监测报警使用说明书.md
ENT_000012,COM2,Component,第 9 至 16 路报警输入的公共端端子,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_7,,机舱总线制监测报警使用说明书.md
ENT_000013,COM3,Component,第 17 至 24 路报警输入的公共端端子,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_7,,机舱总线制监测报警使用说明书.md
ENT_000014,COM4,Component,第 25 至 32 路报警输入的公共端端子,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_7,,机舱总线制监测报警使用说明书.md
ENT_000015,CRT17 显示器,Component,17 英寸阴极射线管显示器，系统可选配置,机舱微机监测报警系统说明书,机舱微机监测报警系统说明书::chunk_9,,机舱微机监测报警系统说明书.md
ENT_000016,D3 灯,Component,主控单元上的状态指示灯,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5,,机舱总线制监测报警使用说明书.md
ENT_000017,GND 接线端子,Component,485 通讯接口的接地引脚,柴油机智能延伸检测单元说明书,柴油机智能延伸检测单元说明书::chunk_4,,柴油机智能延伸检测单元说明书.md
ENT_000018,J1 报警输入口,Component,报警数据采集模块的报警输入接口,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5,,机舱总线制监测报警使用说明书.md
ENT_000019,J4 报警输入口,Component,报警数据采集模块的报警输入接口,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5,,机舱总线制监测报警使用说明书.md
ENT_000020,J5 公共端,Component,J1 和 J2 的公共端接口,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5,,机舱总线制监测报警使用说明书.md
ENT_000021,J6 公共端,Component,J3 和 J4 的公共端接口,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5,,机舱总线制监测报警使用说明书.md
ENT_000022,J7 RS-485 接线口,Component,报警数据采集模块的通讯接口,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5,,机舱总线制监测报警使用说明书.md
ENT_000023,J8 24V 电源接口,Component,报警数据采集模块的电源接口,机舱总线制监测报警使用说明书,机舱总线制监测报警使用说明书::chunk_5,,机舱总线制监测报警使用说明书.md
