head,head_label,relation,tail,tail_label,description,chunk_id
船舶电气设备及系统,System,HAS_COMPONENT,船舶电机,Equipment,课程内容包括船舶电机,船舶电气设备及系统::chunk_0
船舶电气设备及系统,System,HAS_COMPONENT,电力拖动系统,System,课程内容包括电力拖动系统,船舶电气设备及系统::chunk_0
船舶电气设备及系统,System,HAS_COMPONENT,船舶电站,System,课程内容包括船舶电站,船舶电气设备及系统::chunk_0
船舶电站,System,HAS_COMPONENT,自动化装置,Component,船舶电站包括自动化装置,船舶电气设备及系统::chunk_0
船舶电气设备及系统,System,HAS_COMPONENT,船舶照明系统,System,课程内容包括船舶照明系统管理,船舶电气设备及系统::chunk_0
交流电制,System,RELATED_TO,交流电机,Equipment,交流电制使用交流电机,船舶电气设备及系统::chunk_0
交流电制,System,CAUSED_BY,交流发电机励磁恒压系统,System,交流发电机励磁恒压系统的发展促进了交流电制在船舶上的应用,船舶电气设备及系统::chunk_0
交流电力拖动系统,System,CAUSED_BY,电力电子,Component,电力电子技术的发展使交流电力拖动系统具备较宽调速范围,船舶电气设备及系统::chunk_0
交流电力拖动系统,System,CAUSED_BY,变频控制技术,Component,变频控制技术的发展使交流电力拖动系统具备较高稳态精度,船舶电气设备及系统::chunk_0
综合电力推进（IEP）,System,RELATED_TO,综合电力系统（IPS）,System,从综合电力推进探索深入到综合电力系统,船舶电气设备及系统::chunk_0
自动化电站,System,HAS_COMPONENT,微机,Equipment,微机在电站自动控制中日益普遍,船舶电气设备及系统::chunk_1
自动化电站,System,HAS_COMPONENT,智能化模块IPM,Component,智能化模块IPM在电站自动化中应用,船舶电气设备及系统::chunk_1
自动化电站,System,HAS_COMPONENT,专用功率器件ASPM,Component,专用功率器件ASPM在电站自动化中应用,船舶电气设备及系统::chunk_1
综合电力系统（IPS）,System,HAS_COMPONENT,发电模块,Component,综合电力系统（IPS）包含发电模块,船舶电气设备及系统::chunk_1
综合电力系统（IPS）,System,HAS_COMPONENT,输电、变电、配电模块,Component,综合电力系统（IPS）包含输电、变电、配电模块,船舶电气设备及系统::chunk_1
综合电力系统（IPS）,System,HAS_COMPONENT,推进模块,Component,综合电力系统（IPS）包含推进模块,船舶电气设备及系统::chunk_1
自动化电站,System,REPAIRED_BY,自动化电站的日常管理和可靠性维护,RepairMethod,自动化电站的日常管理和可靠性维护是必须的工作,船舶电气设备及系统::chunk_1
