entity_id,name,label,description,doc_id,chunk_id,all_labels,source
ENT_000001,CoolingSystem_CirculationPump,Component,发动机冷却系统内部循环水泵,D16维护保养手册,D16维护保养手册::chunk_18;D16维护保养手册::chunk_19;D16维护保养手册::chunk_20;D16维护保养手册::chunk_21,,D16维护保养手册.md
ENT_000002,CoolingSystem_CoolantFillerCap,Component,冷却系统内的冷却剂加注口盖，维持系统压力,D16维护保养手册,D16维护保养手册::chunk_1,,D16维护保养手册.md
ENT_000003,CoolingSystem_CoolingFan,Component,冷却风扇，通过气流辅助散热器降温,D16维护保养手册,D16维护保养手册::chunk_22;D16维护保养手册::chunk_23;D16维护保养手册::chunk_24;D16维护保养手册::chunk_25,,D16维护保养手册.md
ENT_000004,CoolingSystem_ExpansionTank,Component,冷却系统膨胀水箱，容纳冷却液热膨胀体积；冷却系统膨胀箱，用于补偿冷却剂体积变化并指示液位,D16维护保养手册,D16维护保养手册::chunk_11;D16维护保养手册::chunk_22;D16维护保养手册::chunk_23;D16维护保养手册::chunk_24;D16维护保养手册::chunk_25,,D16维护保养手册.md
ENT_000005,CoolingSystem_HeatExchanger,Component,冷却系统热交换器核心模块，包含防腐阳极,D16维护保养手册,D16维护保养手册::chunk_11,,D16维护保养手册.md
ENT_000006,CoolingSystem_HeatingElement,Component,连接至发动机冷却系统的船配加热元件,D16维护保养手册,D16维护保养手册::chunk_18;D16维护保养手册::chunk_19;D16维护保养手册::chunk_20;D16维护保养手册::chunk_21,,D16维护保养手册.md
ENT_000007,CoolingSystem_Impeller,Component,海水泵叶轮，泵内核心旋转部件，易磨损需定期更换；海水泵内的核心叶轮部件,D16维护保养手册,D16维护保养手册::chunk_22;D16维护保养手册::chunk_23;D16维护保养手册::chunk_24;D16维护保养手册::chunk_25;D16维护保养手册::chunk_30;D16维护保养手册::chunk_31;D16维护保养手册::chunk_32;D16维护保养手册::chunk_33,,D16维护保养手册.md
ENT_000008,CoolingSystem_SafetyValve,Component,冷却系统内的安全阀，保护系统免受超压,D16维护保养手册,D16维护保养手册::chunk_1,,D16维护保养手册.md
ENT_000009,CoolingSystem_SeaCock,Component,冷却系统内的海水龙头，控制海水进出,D16维护保养手册,D16维护保养手册::chunk_1,,D16维护保养手册.md
ENT_000010,CoolingSystem_SeawaterFilter,Component,海水过滤器，用于拦截海水中杂物防止堵塞,D16维护保养手册,D16维护保养手册::chunk_26;D16维护保养手册::chunk_27;D16维护保养手册::chunk_28;D16维护保养手册::chunk_29,,D16维护保养手册.md
